epoch,train_loss,train_accuracy,test_accuracy
1,1.7298166115570068,0.36128,0.4707
2,1.4089841942596435,0.49014,0.5148
3,1.2549156099319458,0.5502,0.5935
4,1.1341291064071655,0.59712,0.623
5,1.047406374053955,0.62918,0.6487
6,0.974488453655243,0.65476,0.6656
7,0.9126059103012085,0.67876,0.6889
8,0.8588688935279846,0.69678,0.6792
9,0.8203550663566589,0.70992,0.7006
10,0.7796618106079102,0.72608,0.6991
11,0.7474878811073303,0.73612,0.7253
12,0.7147644148635864,0.74776,0.7158
13,0.6832541649627686,0.75986,0.7195
14,0.6593706501007081,0.76628,0.7285
15,0.631219723815918,0.77486,0.7293
16,0.6045691196346283,0.78428,0.7246
17,0.5874876169872284,0.78928,0.7287
18,0.5634928284454346,0.79972,0.7208
19,0.5534908463954925,0.80172,0.7411
20,0.5268532688140869,0.80922,0.7273
21,0.5094260382843018,0.81512,0.7289
22,0.4949786852455139,0.82042,0.7304
23,0.4758654919528961,0.82626,0.7307
24,0.46790737070083616,0.8294,0.7329
25,0.45062272003173826,0.83618,0.7299
26,0.44045786800384523,0.8397,0.7342
27,0.42784609538078305,0.84266,0.7273
28,0.411348168296814,0.84896,0.7309
29,0.40037657836914065,0.85362,0.7302
30,0.3888858916473389,0.85526,0.7277
31,0.3773472356748581,0.86124,0.7303
32,0.37024032872200013,0.86292,0.7329
33,0.3583427710723877,0.86906,0.7337
34,0.3571073338031769,0.86648,0.7321
35,0.3383184073829651,0.87434,0.7273
